target,class_0_label,class_1_label,p_true_low_pred_low,p_true_low_pred_high,p_true_high_pred_low,p_true_high_pred_high,count_true_low_pred_low,count_true_low_pred_high,count_true_high_pred_low,count_true_high_pred_high,auc,accuracy,precision,recall,specificity,fpr,f1,log_loss,brier
SurgeryDay_RestPain,Class 0 (0-3),Class 1 (4-10),0.716,0.284,0.5294117647058824,0.47058823529411764,358,142,18,16,0.5779411764705882,0.700374531835206,0.10126582278481013,0.47058823529411764,0.716,0.284,0.16666666666666669,0.7835887541611201,0.28087257074026123
SurgeryDay_MovementPain,Class 0 (0-3),Class 1 (4-10),0.6143497757847534,0.38565022421524664,0.48314606741573035,0.5168539325842697,274,172,43,46,0.5968660250919534,0.5981308411214953,0.21100917431192662,0.5168539325842697,0.6143497757847534,0.38565022421524664,0.2996742671009773,0.8235500966253616,0.301983578378767
SurgeryDay_SedationScore,Class 0 (1-2),Class 1 (3-5),1.0,0.0,0.875,0.125,527,0,7,1,0.8406072106261859,0.9869158878504672,1.0,0.125,1.0,0.0,0.2222222222222222,0.1091794072506103,0.026304398613491948
SurgeryDay_ActivityStatus,Class 0 (1-2),Class 1 (3-4),0.5,0.5,0.07307692307692308,0.926923076923077,7,7,38,482,0.8497252747252747,0.9157303370786517,0.9856850715746421,0.926923076923077,0.5,0.5,0.9554013875123886,0.3850784797352893,0.10511791152830735
SurgeryDay_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.8649193548387096,0.1350806451612903,0.6923076923076923,0.3076923076923077,429,67,27,12,0.7019747725392886,0.8242990654205608,0.1518987341772152,0.3076923076923077,0.8649193548387096,0.1350806451612903,0.2033898305084746,0.5335330169240141,0.16959926463563166
POD1_RestPain,Class 0 (0-3),Class 1 (4-10),0.9501915708812261,0.04980842911877394,0.7142857142857143,0.2857142857142857,496,26,10,4,0.7758620689655172,0.9328358208955224,0.13333333333333333,0.2857142857142857,0.9501915708812261,0.04980842911877394,0.18181818181818182,0.43361878623042416,0.14184774600445196
POD1_MovementPain,Class 0 (0-3),Class 1 (4-10),0.7298969072164948,0.27010309278350514,0.5294117647058824,0.47058823529411764,354,131,27,24,0.6479886800080857,0.7052238805970149,0.15483870967741936,0.47058823529411764,0.7298969072164948,0.27010309278350514,0.23300970873786406,0.7927299768484234,0.28749965992468884
POD1_SedationScore,Class 0 (1-2),Class 1 (3-5),0.9981167608286252,0.0018832391713747645,1.0,0.0,530,1,5,0,0.864030131826742,0.9888059701492538,0.0,0.0,0.9981167608286252,0.0018832391713747645,0.0,0.08846019495765425,0.02210889727817263
POD1_ActivityStatus,Class 0 (1-2),Class 1 (3-4),0.5,0.5,0.09873949579831932,0.9012605042016807,30,30,47,429,0.8433473389355742,0.8563432835820896,0.934640522875817,0.9012605042016807,0.5,0.5,0.9176470588235294,0.5084081885681945,0.1646855555090909
POD1_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.948076923076923,0.051923076923076926,0.75,0.25,493,27,12,4,0.6831730769230769,0.9272388059701493,0.12903225806451613,0.25,0.948076923076923,0.051923076923076926,0.1702127659574468,0.2978734069751615,0.0837899281410731
POD2_RestPain,Class 0 (0-3),Class 1 (4-10),0.998109640831758,0.001890359168241966,1.0,0.0,528,1,4,0,0.6148393194706995,0.9906191369606003,0.0,0.0,0.998109640831758,0.001890359168241966,0.0,0.1903687744525411,0.04702149524807589
POD2_MovementPain,Class 0 (0-3),Class 1 (4-10),0.8674463937621832,0.13255360623781676,0.8,0.2,445,68,16,4,0.5683235867446393,0.8424015009380863,0.05555555555555555,0.2,0.8674463937621832,0.13255360623781676,0.08695652173913045,0.5748018020414389,0.1991210449224234
POD2_SedationScore,Class 0 (1-2),Class 1 (3-5),0.9906015037593985,0.009398496240601503,0.5,0.5,527,5,1,1,0.5648496240601504,0.9887640449438202,0.16666666666666666,0.5,0.9906015037593985,0.009398496240601503,0.25,0.06070540018819392,0.007656153549652731
POD2_ActivityStatus,Class 0 (1-2),Class 1 (3-4),0.8994708994708994,0.10052910052910052,0.34202898550724636,0.6579710144927536,170,19,118,227,0.8345372287401273,0.7434456928838952,0.9227642276422764,0.6579710144927536,0.8994708994708994,0.10052910052910052,0.7681895093062606,0.5172074389825942,0.16578237369504864
POD2_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.9753787878787878,0.02462121212121212,1.0,0.0,515,13,5,0,0.7098484848484848,0.9662288930581614,0.0,0.0,0.9753787878787878,0.02462121212121212,0.0,0.13276237963538956,0.03302501987260553
POD3_RestPain,Class 0 (0-3),Class 1 (4-10),0.9860279441117764,0.013972055888223553,1.0,0.0,494,7,3,0,0.5429141716566867,0.9801587301587301,0.0,0.0,0.9860279441117764,0.013972055888223553,0.0,0.10961827918805259,0.02812062545658835
POD3_MovementPain,Class 0 (0-3),Class 1 (4-10),0.8282828282828283,0.1717171717171717,0.7777777777777778,0.2222222222222222,410,85,7,2,0.7227833894500562,0.8174603174603174,0.022988505747126436,0.2222222222222222,0.8282828282828283,0.1717171717171717,0.041666666666666664,0.35172262670413135,0.09843249041547786
POD3_SedationScore,Class 0 (1-2),Class 1 (3-5),0.9880478087649402,0.01195219123505976,1.0,0.0,496,6,1,0,0.9840637450199203,0.9860834990059643,0.0,0.0,0.9880478087649402,0.01195219123505976,0.0,0.024274513052347402,0.007295779431505811
POD3_ActivityStatus,Class 0 (1-2),Class 1 (3-4),0.8680851063829788,0.13191489361702127,0.2936802973977695,0.7063197026022305,204,31,79,190,0.8590840781460096,0.7817460317460317,0.8597285067873304,0.7063197026022305,0.8680851063829788,0.13191489361702127,0.7755102040816326,0.4701811075911598,0.14704273660822387
POD3_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.9940119760479041,0.005988023952095809,1.0,0.0,498,3,2,0,0.6706586826347305,0.9900596421471173,0.0,0.0,0.9940119760479041,0.005988023952095809,0.0,0.07239875485199793,0.016394173722360784
