bin_left,bin_right,count,ratio
0.0,0.1,2620,0.9743399033097806
0.1,0.2,0,0.0
0.2,0.30000000000000004,0,0.0
0.30000000000000004,0.4,0,0.0
0.4,0.5,0,0.0
0.5,0.6000000000000001,0,0.0
0.6000000000000001,0.7000000000000001,0,0.0
0.7000000000000001,0.8,0,0.0
0.8,0.9,0,0.0
0.9,1.0,0,0.0
1.0,1.1,42,0.015619189289698772
1.1,1.2000000000000002,0,0.0
1.2000000000000002,1.3,0,0.0
1.3,1.4000000000000001,0,0.0
1.4000000000000001,1.5,0,0.0
1.5,1.6,0,0.0
1.6,1.7000000000000002,0,0.0
1.7000000000000002,1.8,0,0.0
1.8,1.9000000000000001,0,0.0
1.9000000000000001,2.0,0,0.0
2.0,2.1,13,0.004834510970621049
2.1,2.2,0,0.0
2.2,2.3000000000000003,0,0.0
2.3000000000000003,2.4000000000000004,0,0.0
2.4000000000000004,2.5,0,0.0
2.5,2.6,0,0.0
2.6,2.7,0,0.0
2.7,2.8000000000000003,0,0.0
2.8000000000000003,2.9000000000000004,0,0.0
2.9000000000000004,3.0,14,0.005206396429899591
