bin_left,bin_right,count,ratio
0.0,0.26666666666666666,924,0.343622164373373
0.26666666666666666,0.5333333333333333,0,0.0
0.5333333333333333,0.8,0,0.0
0.8,1.0666666666666667,652,0.24246931944960953
1.0666666666666667,1.3333333333333333,0,0.0
1.3333333333333333,1.6,0,0.0
1.6,1.8666666666666667,0,0.0
1.8666666666666667,2.1333333333333333,683,0.25399776868724433
2.1333333333333333,2.4,0,0.0
2.4,2.6666666666666665,0,0.0
2.6666666666666665,2.933333333333333,0,0.0
2.933333333333333,3.2,258,0.09594644849386388
3.2,3.466666666666667,0,0.0
3.466666666666667,3.7333333333333334,0,0.0
3.7333333333333334,4.0,0,0.0
4.0,4.266666666666667,136,0.05057642246188174
4.266666666666667,4.533333333333333,0,0.0
4.533333333333333,4.8,0,0.0
4.8,5.066666666666666,28,0.010412792859799182
5.066666666666666,5.333333333333333,0,0.0
5.333333333333333,5.6,0,0.0
5.6,5.866666666666666,0,0.0
5.866666666666666,6.133333333333333,4,0.0014875418371141688
6.133333333333333,6.4,0,0.0
6.4,6.666666666666667,1,0.0003718854592785422
6.666666666666667,6.933333333333334,0,0.0
6.933333333333334,7.2,1,0.0003718854592785422
7.2,7.466666666666667,0,0.0
7.466666666666667,7.733333333333333,0,0.0
7.733333333333333,8.0,2,0.0007437709185570844
